monotonic,timestamp,url,flag,prefix_1,prefix_2,prefix_3,prefix_4,prefix_5,prefix_6,prefix_7,prefix_8
929841397,1190146243.477,http://fr.wikipedia.org/skins-1.5/common/images/button_math.png,-,http://fr.wikipedia.org,skins-1.5,common,images,button_math.png,,,
929841398,1190146243.496,http://upload.wikimedia.org/wikipedia/en/thumb/0/03/Mb046c.gif/25px-Mb046c.gif,-,http://upload.wikimedia.org,wikipedia,en,thumb,0,03,Mb046c.gif,25px-Mb046c.gif
929841400,1190146243.479,http://de.wikipedia.org/wiki/Multiple_Sklerose,-,http://de.wikipedia.org,wiki,Multiple_Sklerose,,,,,
929841399,1190146243.475,http://en.wikipedia.org/wiki/Mahdi,-,http://en.wikipedia.org,wiki,Mahdi,,,,,
929841401,1190146243.472,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/22px-Flag_of_Argentina.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,1,1a,Flag_of_Argentina.svg,22px-Flag_of_Argentina.svg.png
929841402,1190146243.507,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Wikiquote-logo-en.svg/49px-Wikiquote-logo-en.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,d,d6,Wikiquote-logo-en.svg,49px-Wikiquote-logo-en.svg.png
929841403,1190146243.488,http://en.wikipedia.org/wiki/Father_and_Scout,-,http://en.wikipedia.org,wiki,Father_and_Scout,,,,,
929841404,1190146243.477,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Flag_of_North_Ossetia.svg/22px-Flag_of_North_Ossetia.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,1,1c,Flag_of_North_Ossetia.svg,22px-Flag_of_North_Ossetia.svg.png
929841405,1190146243.506,http://en.wikipedia.org/skins-1.5/monobook/external.png,-,http://en.wikipedia.org,skins-1.5,monobook,external.png,,,,
929841406,1190146243.473,http://de.wikipedia.org/skins-1.5/monobook/external.png,-,http://de.wikipedia.org,skins-1.5,monobook,external.png,,,,
929841407,1190146243.478,http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Kit_left_arm.svg/31px-Kit_left_arm.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,7,7f,Kit_left_arm.svg,31px-Kit_left_arm.svg.png
929841408,1190146243.48,http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Niederlegung_Reichskrone_Seite_1.jpg/200px-Niederlegung_Reichskrone_Seite_1.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,9,91,Niederlegung_Reichskrone_Seite_1.jpg,200px-Niederlegung_Reichskrone_Seite_1.jpg
929841410,1190146243.499,http://en.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://en.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929841409,1190146243.499,http://upload.wikimedia.org/wikipedia/commons/c/c8/Drumkit_notation_drums.png,-,http://upload.wikimedia.org,wikipedia,commons,c,c8,Drumkit_notation_drums.png,,
929841411,1190146243.485,http://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/22px-Flag_of_North_Korea.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,5,51,Flag_of_North_Korea.svg,22px-Flag_of_North_Korea.svg.png
929841413,1190146243.499,http://en.wikipedia.org/wiki/Conquistador,-,http://en.wikipedia.org,wiki,Conquistador,,,,,
929841412,1190146243.495,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/22px-Flag_of_Russia.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,f3,Flag_of_Russia.svg,22px-Flag_of_Russia.svg.png
929841415,1190146243.479,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Iceland.svg/22px-Flag_of_Iceland.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,c,ce,Flag_of_Iceland.svg,22px-Flag_of_Iceland.svg.png
929841414,1190146243.491,http://es.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://es.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929841416,1190146243.494,http://en.wikipedia.org/skins-1.5/monobook/user.gif,-,http://en.wikipedia.org,skins-1.5,monobook,user.gif,,,,
929841419,1190146243.486,http://en.wikipedia.org/wiki/Special:Search?search=graviton&go=Go,-,http://en.wikipedia.org,wiki,Special:Search?search=graviton&go=Go,,,,,
929841417,1190146243.483,http://upload.wikimedia.org/wikipedia/en/1/18/Monobook-bullet.png,-,http://upload.wikimedia.org,wikipedia,en,1,18,Monobook-bullet.png,,
929841418,1190146243.498,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/35px-Wikibooks-logo.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,fa,Wikibooks-logo.svg,35px-Wikibooks-logo.svg.png
929841420,1190146243.481,http://en.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://en.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929841421,1190146243.502,http://en.wikipedia.org/wiki/Characters_in_Tsukihime,-,http://en.wikipedia.org,wiki,Characters_in_Tsukihime,,,,,
929841422,1190146243.481,http://en.wikipedia.org/wiki/Force_%28Star_Wars%29,-,http://en.wikipedia.org,wiki,Force_%28Star_Wars%29,,,,,
929841424,1190146243.505,http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Pseudomonas_aeruginosa_Gram.jpg/300px-Pseudomonas_aeruginosa_Gram.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,2,2d,Pseudomonas_aeruginosa_Gram.jpg,300px-Pseudomonas_aeruginosa_Gram.jpg
929841423,1190146243.483,http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Michelangelo%27s_Pieta_5450_cropncleaned.jpg/180px-Michelangelo%27s_Pieta_5450_cropncleaned.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,8,8a,Michelangelo%27s_Pieta_5450_cropncleaned.jpg,180px-Michelangelo%27s_Pieta_5450_cropncleaned.jpg
929841426,1190146243.507,http://en.wikipedia.org/wiki/Death_In_June,-,http://en.wikipedia.org,wiki,Death_In_June,,,,,
929841425,1190146243.489,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/ChesapeakeTidalWetlands.jpg/250px-ChesapeakeTidalWetlands.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,e2,ChesapeakeTidalWetlands.jpg,250px-ChesapeakeTidalWetlands.jpg
929841427,1190146243.509,http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/22px-Flag_of_the_Philippines.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,9,99,Flag_of_the_Philippines.svg,22px-Flag_of_the_Philippines.svg.png
929841428,1190146243.507,http://en.wikipedia.org/favicon.ico,-,http://en.wikipedia.org,favicon.ico,,,,,,
929841430,1190146243.506,http://en.wikipedia.org/wiki/Dayton,-,http://en.wikipedia.org,wiki,Dayton,,,,,
929841429,1190146243.484,http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Gloster_Meteor_III_ExCC.jpg/180px-Gloster_Meteor_III_ExCC.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,02,Gloster_Meteor_III_ExCC.jpg,180px-Gloster_Meteor_III_ExCC.jpg
929841431,1190146243.486,http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Emo_hair.jpg/100px-Emo_hair.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,07,Emo_hair.jpg,100px-Emo_hair.jpg
929841433,1190146243.51,http://en.wikipedia.org/favicon.ico,-,http://en.wikipedia.org,favicon.ico,,,,,,
929841434,1190146243.493,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/25px-Commons-logo.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,4,4a,Commons-logo.svg,25px-Commons-logo.svg.png
929841432,1190146243.502,http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Nuvola_apps_kcoloredit.png/40px-Nuvola_apps_kcoloredit.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,c,ca,Nuvola_apps_kcoloredit.png,40px-Nuvola_apps_kcoloredit.png
929841435,1190146243.513,http://en.wikipedia.org/wiki/Duality_%28song%29,-,http://en.wikipedia.org,wiki,Duality_%28song%29,,,,,
929841437,1190146243.512,http://pt.wikipedia.org/skins-1.5/monobook/headbg.jpg,-,http://pt.wikipedia.org,skins-1.5,monobook,headbg.jpg,,,,
929841436,1190146243.494,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Vala_in_grass.jpg/120px-Vala_in_grass.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,f1,Vala_in_grass.jpg,120px-Vala_in_grass.jpg
929841438,1190146243.486,http://en.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://en.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929841439,1190146243.503,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Petrified_forest_log_1_md.jpg/240px-Petrified_forest_log_1_md.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,a,a7,Petrified_forest_log_1_md.jpg,240px-Petrified_forest_log_1_md.jpg
929841440,1190146243.517,http://en.wikipedia.org/wiki/Wanderlei_Silva,-,http://en.wikipedia.org,wiki,Wanderlei_Silva,,,,,
929841441,1190146243.495,http://upload.wikimedia.org/wikipedia/commons/3/35/Kalzium.jpg,-,http://upload.wikimedia.org,wikipedia,commons,3,35,Kalzium.jpg,,
929841442,1190146243.507,http://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/22px-Flag_of_Lebanon.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,5,59,Flag_of_Lebanon.svg,22px-Flag_of_Lebanon.svg.png
929841444,1190146243.496,http://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/20px-Flag_of_Brazil.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,05,Flag_of_Brazil.svg,20px-Flag_of_Brazil.svg.png
929841446,1190146243.512,http://upload.wikimedia.org/wikipedia/en/thumb/6/69/Gamma_World_Book.jpg/200px-Gamma_World_Book.jpg,-,http://upload.wikimedia.org,wikipedia,en,thumb,6,69,Gamma_World_Book.jpg,200px-Gamma_World_Book.jpg
929841443,1190146243.506,http://en.wikipedia.org/wiki/Ancient_Greece,-,http://en.wikipedia.org,wiki,Ancient_Greece,,,,,
929841445,1190146243.512,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/22px-Flag_of_Mexico.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,fc,Flag_of_Mexico.svg,22px-Flag_of_Mexico.svg.png
929841447,1190146243.49,http://de.wiktionary.org/skins-1.5/monobook/bullet.gif,-,http://de.wiktionary.org,skins-1.5,monobook,bullet.gif,,,,
929841448,1190146243.507,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/35px-Wikibooks-logo.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,f,fa,Wikibooks-logo.svg,35px-Wikibooks-logo.svg.png
929841449,1190146243.512,http://en.wikipedia.org/wiki/Theremin,-,http://en.wikipedia.org,wiki,Theremin,,,,,
929841450,1190146243.492,http://nl.wikipedia.org/skins-1.5/monobook/main.css?90,-,http://nl.wikipedia.org,skins-1.5,monobook,main.css?90,,,,
929841451,1190146243.509,http://upload.wikimedia.org/wikipedia/en/thumb/4/4a/Commons-logo.svg/18px-Commons-logo.svg.png,-,http://upload.wikimedia.org,wikipedia,en,thumb,4,4a,Commons-logo.svg,18px-Commons-logo.svg.png
929841452,1190146243.51,http://en.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929841453,1190146243.528,http://es.wikipedia.org/skins-1.5/common/ajax.js?99,-,http://es.wikipedia.org,skins-1.5,common,ajax.js?99,,,,
929841455,1190146243.491,http://upload.wikimedia.org/wikipedia/de/b/bc/Wiki.png,-,http://upload.wikimedia.org,wikipedia,de,b,bc,Wiki.png,,
929841454,1190146243.507,http://upload.wikimedia.org/wikipedia/en/thumb/8/81/NPS_Wilderness_May5.png/400px-NPS_Wilderness_May5.png,-,http://upload.wikimedia.org,wikipedia,en,thumb,8,81,NPS_Wilderness_May5.png,400px-NPS_Wilderness_May5.png
929841457,1190146243.508,http://upload.wikimedia.org/wikipedia/commons/5/56/Ivan_Pavlov_%28Nobel%29.png,-,http://upload.wikimedia.org,wikipedia,commons,5,56,Ivan_Pavlov_%28Nobel%29.png,,
929841458,1190146243.5,http://fr.wikipedia.org/wiki/Zona,-,http://fr.wikipedia.org,wiki,Zona,,,,,
929841456,1190146243.516,http://wikimediafoundation.org/w/index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://wikimediafoundation.org,w,index.php?title=MediaWiki:Common.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929841460,1190146243.499,http://upload.wikimedia.org/wikipedia/fr/e/ea/Transparent3x3.gif,-,http://upload.wikimedia.org,wikipedia,fr,e,ea,Transparent3x3.gif,,
929841459,1190146243.5,http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Rembrandt_Harmensz._van_Rijn_038.jpg/300px-Rembrandt_Harmensz._van_Rijn_038.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,3,36,Rembrandt_Harmensz._van_Rijn_038.jpg,300px-Rembrandt_Harmensz._van_Rijn_038.jpg
929841462,1190146243.494,http://en.wikibooks.org/skins-1.5/monobook/headbg.jpg,-,http://en.wikibooks.org,skins-1.5,monobook,headbg.jpg,,,,
929841461,1190146243.496,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Giraffes_at_west_midlands_safari_park.jpg/250px-Giraffes_at_west_midlands_safari_park.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,e6,Giraffes_at_west_midlands_safari_park.jpg,250px-Giraffes_at_west_midlands_safari_park.jpg
929841463,1190146243.501,http://upload.wikimedia.org/wikipedia/commons/3/35/Kalzium.jpg,-,http://upload.wikimedia.org,wikipedia,commons,3,35,Kalzium.jpg,,
929841464,1190146243.494,http://en.wikipedia.org/skins-1.5/common/ajax.js?97,-,http://en.wikipedia.org,skins-1.5,common,ajax.js?97,,,,
929841465,1190146243.52,http://www.wikipedia.org/search-redirect.php?search=vaclav+havel&language=en&go=++%3E++&go=Go,-,http://www.wikipedia.org,search-redirect.php?search=vaclav+havel&language=en&go=++%3E++&go=Go,,,,,,
929841466,1190146243.495,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/40px-Flag_of_Australia.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,b,b9,Flag_of_Australia.svg,40px-Flag_of_Australia.svg.png
929841468,1190146243.513,http://upload.wikimedia.org/wikipedia/en/1/18/Monobook-bullet.png,-,http://upload.wikimedia.org,wikipedia,en,1,18,Monobook-bullet.png,,
929841467,1190146243.521,http://upload.wikimedia.org/wikipedia/en/d/d3/The_Doors_-_Waiting_for_the_Sun.jpg,-,http://upload.wikimedia.org,wikipedia,en,d,d3,The_Doors_-_Waiting_for_the_Sun.jpg,,
929841469,1190146243.501,http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/22px-Flag_of_South_Korea.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,0,09,Flag_of_South_Korea.svg,22px-Flag_of_South_Korea.svg.png
929841470,1190146243.496,http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikispecies-logo.svg/35px-Wikispecies-logo.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,d,df,Wikispecies-logo.svg,35px-Wikispecies-logo.svg.png
929841472,1190146243.515,http://upload.wikimedia.org/wikipedia/en/4/41/UK_Royal_Coat_of_Arms.png,-,http://upload.wikimedia.org,wikipedia,en,4,41,UK_Royal_Coat_of_Arms.png,,
929841471,1190146243.514,http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&smaxage=21600&maxage=86400,-,http://meta.wikimedia.org,w,index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text,javascript&smaxage=21600&maxage=86400,,,,
929841474,1190146243.503,http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&smaxage=21600&maxage=86400,-,http://meta.wikimedia.org,w,index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text,javascript&smaxage=21600&maxage=86400,,,,
929841473,1190146243.52,http://en.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://en.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929841475,1190146243.634,http://ja.wikipedia.org/w/index.php?title=%E5%8F%97%E4%BF%A1%E6%84%9F%E5%BA%A6&redirect=no,-,http://ja.wikipedia.org,w,index.php?title=%E5%8F%97%E4%BF%A1%E6%84%9F%E5%BA%A6&redirect=no,,,,,
929841479,1190146243.497,http://de.wikipedia.org/skins-1.5/monobook/IE60Fixes.css?99,-,http://de.wikipedia.org,skins-1.5,monobook,IE60Fixes.css?99,,,,
929841476,1190146243.52,http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/22px-Flag_of_India.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,4,41,Flag_of_India.svg,22px-Flag_of_India.svg.png
929841481,1190146243.506,http://en.wikipedia.org/wiki/Salvador_Dal%C3%AD,-,http://en.wikipedia.org,wiki,Salvador_Dal%C3%AD,,,,,
929841478,1190146243.504,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Skeleton_woman_back.jpg/15px-Skeleton_woman_back.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,e3,Skeleton_woman_back.jpg,15px-Skeleton_woman_back.jpg
929841477,1190146243.518,http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/22px-Flag_of_the_Philippines.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,9,99,Flag_of_the_Philippines.svg,22px-Flag_of_the_Philippines.svg.png
929841480,1190146243.496,http://en.wikipedia.org/wiki/Yorkshire_Terrier,-,http://en.wikipedia.org,wiki,Yorkshire_Terrier,,,,,
929841482,1190146243.529,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Crystal_Clear_app_xmag.png/18px-Crystal_Clear_app_xmag.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,ef,Crystal_Clear_app_xmag.png,18px-Crystal_Clear_app_xmag.png
929841484,1190146243.526,http://es.wikipedia.org/skins-1.5/monobook/IE70Fixes.css?99,-,http://es.wikipedia.org,skins-1.5,monobook,IE70Fixes.css?99,,,,
929841483,1190146243.499,http://en.wikipedia.org/skins-1.5/common/shared.css?97,-,http://en.wikipedia.org,skins-1.5,common,shared.css?97,,,,
929841485,1190146243.522,http://tr.wikipedia.org/skins-1.5/monobook/video.png,-,http://tr.wikipedia.org,skins-1.5,monobook,video.png,,,,
929841486,1190146243.526,http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Crystal_Clear_app_error.png/50px-Crystal_Clear_app_error.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,5,53,Crystal_Clear_app_error.png,50px-Crystal_Clear_app_error.png
929841487,1190146243.507,http://upload.wikimedia.org/wikipedia/it/f/ff/Wikiquote-logo-15px.png,-,http://upload.wikimedia.org,wikipedia,it,f,ff,Wikiquote-logo-15px.png,,
929841489,1190146243.535,http://upload.wikimedia.org/wikipedia/en/thumb/f/f6/Gingerreyes.jpg/220px-Gingerreyes.jpg,-,http://upload.wikimedia.org,wikipedia,en,thumb,f,f6,Gingerreyes.jpg,220px-Gingerreyes.jpg
929841490,1190146243.526,http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&smaxage=21600&maxage=86400,-,http://meta.wikimedia.org,w,index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text,javascript&smaxage=21600&maxage=86400,,,,
929841488,1190146243.521,http://commons.wikimedia.org/skins-1.5/monobook/user.gif,-,http://commons.wikimedia.org,skins-1.5,monobook,user.gif,,,,
929841491,1190146243.526,http://en.wikipedia.org/wiki/Image:Chatterton.jpg,-,http://en.wikipedia.org,wiki,Image:Chatterton.jpg,,,,,
929841492,1190146243.528,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Converted_to_SVG.svg/64px-Converted_to_SVG.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,e,ea,Converted_to_SVG.svg,64px-Converted_to_SVG.svg.png
929841494,1190146243.53,http://commons.wikimedia.org/skins-1.5/common/commonPrint.css?99,-,http://commons.wikimedia.org,skins-1.5,common,commonPrint.css?99,,,,
929841493,1190146243.504,http://es.wikipedia.org/w/index.php?title=MediaWiki:Wikimediaplayer.js&action=raw&ctype=text/javascript&dontcountme=s&smaxage=3600,-,http://es.wikipedia.org,w,index.php?title=MediaWiki:Wikimediaplayer.js&action=raw&ctype=text,javascript&dontcountme=s&smaxage=3600,,,,
929841498,1190146243.514,http://en.wikipedia.org/images/wiki-en.png,-,http://en.wikipedia.org,images,wiki-en.png,,,,,
929841495,1190146243.51,http://upload.wikimedia.org/wikipedia/en/4/4f/Srokkhmer.png,-,http://upload.wikimedia.org,wikipedia,en,4,4f,Srokkhmer.png,,
929841497,1190146243.506,http://upload.wikimedia.org/wikipedia/commons/d/d4/Button_hide.png,-,http://upload.wikimedia.org,wikipedia,commons,d,d4,Button_hide.png,,
929841496,1190146243.535,http://it.wikipedia.org/wiki/Jean-%C3%89tienne_Liotard,-,http://it.wikipedia.org,wiki,Jean-%C3%89tienne_Liotard,,,,,
929841499,1190146243.526,http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Grave_vistrap_inlaat.jpg/120px-Grave_vistrap_inlaat.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,3,30,Grave_vistrap_inlaat.jpg,120px-Grave_vistrap_inlaat.jpg
929841501,1190146243.531,http://en.wikipedia.org/wiki/Mean_Girls,-,http://en.wikipedia.org,wiki,Mean_Girls,,,,,
929841500,1190146243.5,http://upload.wikimedia.org/wikipedia/fr/8/86/Icone_BA.png,-,http://upload.wikimedia.org,wikipedia,fr,8,86,Icone_BA.png,,
929841502,1190146243.528,http://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Mb041c.gif/25px-Mb041c.gif,-,http://upload.wikimedia.org,wikipedia,en,thumb,d,d9,Mb041c.gif,25px-Mb041c.gif
929841503,1190146243.538,http://es.wikipedia.org/wiki/Imagen:Illu_epithelium.jpg,-,http://es.wikipedia.org,wiki,Imagen:Illu_epithelium.jpg,,,,,
929841504,1190146243.541,http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Emblem-important.svg/40px-Emblem-important.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,4,4c,Emblem-important.svg,40px-Emblem-important.svg.png
929841505,1190146243.515,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Parallel_telomere_quadruple.png/300px-Parallel_telomere_quadruple.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,9,9e,Parallel_telomere_quadruple.png,300px-Parallel_telomere_quadruple.png
929841507,1190146243.51,http://upload.wikimedia.org/wikipedia/commons/f/f2/Camry07Grille-small.jpg,-,http://upload.wikimedia.org,wikipedia,commons,f,f2,Camry07Grille-small.jpg,,
929841509,1190146243.533,http://en.wikipedia.org/wiki/Virginie_Ledoyen,-,http://en.wikipedia.org,wiki,Virginie_Ledoyen,,,,,
929841506,1190146243.544,http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Galice_castro.jpg/120px-Galice_castro.jpg,-,http://upload.wikimedia.org,wikipedia,commons,thumb,2,25,Galice_castro.jpg,120px-Galice_castro.jpg
929841511,1190146243.543,http://en.wikipedia.org/w/opensearch_desc.php,-,http://en.wikipedia.org,w,opensearch_desc.php,,,,,
929841508,1190146243.527,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/22px-Flag_of_Europe.svg.png,-,http://upload.wikimedia.org,wikipedia,commons,thumb,b,b7,Flag_of_Europe.svg,22px-Flag_of_Europe.svg.png
929841512,1190146243.535,http://en.wikipedia.org/skins-1.5/monobook/IE60Fixes.css?99,-,http://en.wikipedia.org,skins-1.5,monobook,IE60Fixes.css?99,,,,
929841510,1190146243.534,http://upload.wikimedia.org/wikipedia/en/thumb/e/ec/Replace_this_image_female.svg/220px-Replace_this_image_female.svg.png,-,http://upload.wikimedia.org,wikipedia,en,thumb,e,ec,Replace_this_image_female.svg,220px-Replace_this_image_female.svg.png
929841513,1190146243.534,http://es.wikipedia.org/w/index.php?title=-&action=raw&gen=css&maxage=2678400,-,http://es.wikipedia.org,w,index.php?title=-&action=raw&gen=css&maxage=2678400,,,,,
929841514,1190146243.539,http://es.wikipedia.org/w/index.php?title=MediaWiki:Edittools.js&action=raw&smaxage=3600&ctype=text/javascript&dontcountme=s,-,http://es.wikipedia.org,w,index.php?title=MediaWiki:Edittools.js&action=raw&smaxage=3600&ctype=text,javascript&dontcountme=s,,,,
929841515,1190146243.538,http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/IIT_Kharagpur_Main_Building.JPG/270px-IIT_Kharagpur_Main_Building.JPG,-,http://upload.wikimedia.org,wikipedia,commons,thumb,d,df,IIT_Kharagpur_Main_Building.JPG,270px-IIT_Kharagpur_Main_Building.JPG
929841518,1190146243.513,http://pl.wikipedia.org/skins-1.5/monobook/document.png,-,http://pl.wikipedia.org,skins-1.5,monobook,document.png,,,,
929841521,1190146243.512,http://de.wiktionary.org/skins-1.5/common/wikibits.js?99,-,http://de.wiktionary.org,skins-1.5,common,wikibits.js?99,,,,
929841516,1190146243.514,http://upload.wikimedia.org/wikipedia/he/a/a4/History.gif,-,http://upload.wikimedia.org,wikipedia,he,a,a4,History.gif,,
929841517,1190146243.544,http://meta.wikimedia.org/w/index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text/javascript&smaxage=21600&maxage=86400,-,http://meta.wikimedia.org,w,index.php?title=MediaWiki:Wikiminiatlas.js&action=raw&ctype=text,javascript&smaxage=21600&maxage=86400,,,,
929841520,1190146243.515,http://de.wikipedia.org/w/index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text/css&smaxage=2678400,-,http://de.wikipedia.org,w,index.php?title=MediaWiki:Monobook.css&usemsgcache=yes&action=raw&ctype=text,css&smaxage=2678400,,,,
929841519,1190146243.512,http://pl.wikipedia.org/skins-1.5/monobook/document.png,-,http://pl.wikipedia.org,skins-1.5,monobook,document.png,,,,
929841522,1190146243.538,http://www.wikipedia.org/search-redirect.php?search=rick+astley&language=en&go=Go,-,http://www.wikipedia.org,search-redirect.php?search=rick+astley&language=en&go=Go,,,,,,
